#DUKE weather file,,,,,,
$state_name=North Carolina,,,,,,
$city_name=Charlotte,,,,,,
$lat_deg=35,,,,,,
$lat_min=13,,,,,,
$long_deg=-80,,,,,,
$long_min=56,,,,,,
$timezone_offset=-4,,,,,,
temperature,wind_speed,humidity,solar_dir,solar_diff,solar_global,
#month:day:hour:minute:second,,,,,,
01:01:00:00:00,45.7,0.6,67.67,0,0,0
01:01:00:02:00,45.7,0.6,67.67,0,0,0
01:01:00:07:00,45.3,0.9,68.5,0,0,0
01:01:00:12:00,45,1.2,69.33,0,0,0
01:01:00:17:00,44.6,1.5,70.17,0,0,0
01:01:00:22:00,44.2,1.8,71,0,0,0
01:01:00:27:00,43.9,2,71.83,0,0,0
01:01:00:32:00,43.5,2.3,72.67,0,0,0
01:01:00:37:00,43.2,2.6,73.5,0,0,0
01:01:00:42:00,42.8,2.9,74.33,0,0,0
01:01:00:47:00,42.5,3.2,75.17,0,0,0
01:01:00:52:00,42.1,3.5,76,0,0,0
01:01:00:57:00,42.2,3.2,75.83,0,0,0
01:01:01:02:00,42.3,2.9,75.67,0,0,0
01:01:01:07:00,42.3,2.6,75.5,0,0,0
01:01:01:12:00,42.4,2.3,75.33,0,0,0
01:01:01:17:00,42.5,2,75.17,0,0,0
01:01:01:22:00,42.6,1.7,75,0,0,0
01:01:01:27:00,42.6,1.5,74.83,0,0,0
01:01:01:32:00,42.7,1.2,74.67,0,0,0
01:01:01:37:00,42.8,0.9,74.5,0,0,0
01:01:01:42:00,42.9,0.6,74.33,0,0,0
01:01:01:47:00,42.9,0.3,74.17,0,0,0
01:01:01:52:00,43,0,74,0,0,0
01:01:01:57:00,42.8,0.3,74.42,0,0,0
01:01:02:02:00,42.7,0.6,74.83,0,0,0
01:01:02:07:00,42.5,0.9,75.25,0,0,0
01:01:02:12:00,42.3,1.2,75.67,0,0,0
01:01:02:17:00,42.2,1.5,76.08,0,0,0
01:01:02:22:00,42,1.8,76.5,0,0,0
01:01:02:27:00,41.8,2,76.92,0,0,0
01:01:02:32:00,41.7,2.3,77.33,0,0,0
01:01:02:37:00,41.5,2.6,77.75,0,0,0
01:01:02:42:00,41.3,2.9,78.17,0,0,0
01:01:02:47:00,41.2,3.2,78.58,0,0,0
01:01:02:52:00,41,3.5,79,0,0,0
01:01:02:57:00,40.9,3.6,79,0,0,0
01:01:03:02:00,40.8,3.7,79,0,0,0
01:01:03:07:00,40.7,3.8,79,0,0,0
01:01:03:12:00,40.6,3.9,79,0,0,0
01:01:03:17:00,40.5,4,79,0,0,0
01:01:03:22:00,40.4,4.1,79,0,0,0
