"dates","load","tempc"
"2002-01-01 00:00:00","10336.304899346236","1.7"
"2002-01-01 01:00:00","10178.052738120132","1.7"
"2002-01-01 02:00:00","10100.887710186462","1.1"
"2002-01-01 03:00:00","10081.565109462732","0.6"
"2002-01-01 04:00:00","10192.218669817303","0.6"
"2002-01-01 05:00:00","10402.106735174424","0.6"
"2002-01-01 06:00:00","10655.38445328543","0.6"
"2002-01-01 07:00:00","10881.092080210748","0.6"
"2002-01-01 08:00:00","11287.132277054428","0.6"
"2002-01-01 09:00:00","11721.673655786382","0.6"
"2002-01-01 10:00:00","11921.913196671936","0.6"
"2002-01-01 11:00:00","11827.437982101797","0"
"2002-01-01 12:00:00","11541.747317465539","0"
"2002-01-01 13:00:00","11201.962646188906","0.6"
"2002-01-01 14:00:00","10970.213456835758","1.1"
"2002-01-01 15:00:00","10923.37595520458","1.7"
"2002-01-01 16:00:00","11093.135493311232","3.3"
"2002-01-01 17:00:00","11820.79720729731","3.9"
"2002-01-01 18:00:00","12458.207405396988","4.4"
"2002-01-01 19:00:00","12454.658351531092","4.4"
"2002-01-01 20:00:00","12303.094791616599","5"
"2002-01-01 21:00:00","11925.08896028017","5.6"
"2002-01-01 22:00:00","11390.970803154893","3.9"
"2002-01-01 23:00:00","10704.9127","2.2"
"2002-01-02 00:00:00","10742.256873485969","1.7"
"2002-01-02 01:00:00","10736.36801890273","1.7"
"2002-01-02 02:00:00","10860.887507315772","0"
"2002-01-02 03:00:00","11099.595418811543","0"
"2002-01-02 04:00:00","11557.759765946035","0.6"
"2002-01-02 05:00:00","12489.117079786563","0"
"2002-01-02 06:00:00","13679.92821283456","0"
"2002-01-02 07:00:00","14323.335017346571","-0.6"
"2002-01-02 08:00:00","14373.217665913182","-3.3"
"2002-01-02 09:00:00","14340.11686035864","-3.9"
"2002-01-02 10:00:00","14207.702884956878","-4.4"
"2002-01-02 11:00:00","13642.69530925114","-4.4"
"2002-01-02 12:00:00","13319.142876316653","-3.9"
"2002-01-02 13:00:00","13040.24990463015","-2.2"
"2002-01-02 14:00:00","12774.95906233108","-0.6"
"2002-01-02 15:00:00","12804.617679330491","-0.6"
"2002-01-02 16:00:00","13181.086292627242","1.1"
"2002-01-02 17:00:00","14057.995927810953","0.6"
"2002-01-02 18:00:00","14991.7168976741","0"
"2002-01-02 19:00:00","15010.617133590818","0.6"
"2002-01-02 20:00:00","14808.24001779346","1.1"
"2002-01-02 21:00:00","14518.276187395644","0"
"2002-01-02 22:00:00","13751.01826065453","0"
"2002-01-02 23:00:00","12941.9746","-0.6"
"2002-01-03 00:00:00","12844.097975637244","-1.7"
"2002-01-03 01:00:00","12887.16565055426","-1.7"
"2002-01-03 02:00:00","13052.942067173071","-2.8"
"2002-01-03 03:00:00","13310.37097061923","-4.4"
"2002-01-03 04:00:00","13766.819447298401","-5"
