load,tempc,year,day,hour,month
13035.34160859354,27.2,2010,26,7,6
14414.962495859423,27.2,2010,26,8,6
15826.336717837983,26.7,2010,26,9,6
16996.605657217537,26.7,2010,26,10,6
18073.95950185053,26.1,2010,26,11,6
18811.106298014663,27.2,2010,26,12,6
19388.823401665006,28.9,2010,26,13,6
19747.643206454064,30.6,2010,26,14,6
19923.651630164848,32.2,2010,26,15,6
19874.919245264813,33.9,2010,26,16,6
19466.60522304935,35.0,2010,26,17,6
18772.207557502526,35.6,2010,26,18,6
17930.472036568142,36.1,2010,26,19,6
17377.069428372542,36.1,2010,26,20,6
16211.913042378137,36.1,2010,26,21,6
15017.9687,35.6,2010,26,22,6
13909.952350803747,34.4,2010,26,23,6
12911.255959555081,33.3,2010,27,0,6
12295.935032792317,32.2,2010,27,1,6
11819.482959564091,31.7,2010,27,2,6
11463.423391940132,31.0,2010,27,3,6
11333.958702651173,30.0,2010,27,4,6
11025.225927853371,29.4,2010,27,5,6
11357.410682607073,28.9,2010,27,6,6
12578.051944890627,28.9,2010,27,7,6
13877.466887809273,28.3,2010,27,8,6
15147.446049467482,27.8,2010,27,9,6
16360.972404067152,27.2,2010,27,10,6
17492.514812943282,26.1,2010,27,11,6
18447.103283631644,26.7,2010,27,12,6
19128.47165997949,28.9,2010,27,13,6
19634.438969743813,30.0,2010,27,14,6
19925.140859920462,31.7,2010,27,15,6
19948.84018482986,33.3,2010,27,16,6
19611.956543906665,35.0,2010,27,17,6
18927.363527416528,35.6,2010,27,18,6
18030.53848599975,36.1,2010,27,19,6
17573.9164038962,36.1,2010,27,20,6
16247.955094575389,36.1,2010,27,21,6
14789.2516,36.1,2010,27,22,6
13565.49476633938,35.0,2010,27,23,6
12548.47031182386,33.0,2010,28,0,6
11991.429442931247,32.2,2010,28,1,6
11705.50641370668,31.1,2010,28,2,6
11683.016573606721,30.6,2010,28,3,6
12113.133525713358,30.0,2010,28,4,6
12810.385605918227,28.9,2010,28,5,6
13518.379658899628,28.9,2010,28,6,6
14509.569039730524,28.3,2010,28,7,6
15713.811281379483,28.3,2010,28,8,6
17058.252132736598,27.8,2010,28,9,6
18358.67410273861,27.8,2010,28,10,6
19346.715096279208,27.2,2010,28,11,6
20051.40384951045,27.2,2010,28,12,6
20281.19235618555,27.8,2010,28,13,6
19905.03582180686,29.4,2010,28,14,6
18711.607810267764,31.7,2010,28,15,6
17456.23716309519,33.3,2010,28,16,6
16506.634381671043,34.4,2010,28,17,6
15490.400171501562,34.4,2010,28,18,6
14931.97044547449,34.4,2010,28,19,6
14665.68899430566,33.9,2010,28,20,6
13589.453835006543,25.0,2010,28,21,6
12333.3127,23.9,2010,28,22,6
11828.134538872871,24.4,2010,28,23,6
11172.982581398477,24.4,2010,29,0,6
10792.89111360916,24.4,2010,29,1,6
10593.495219129973,24.4,2010,29,2,6
10651.51820975386,25.0,2010,29,3,6
11129.999739803941,25.0,2010,29,4,6
11965.021366829016,25.0,2010,29,5,6
12575.367795227097,25.0,2010,29,6,6
13158.62752611348,25.6,2010,29,7,6
13731.929555277473,25.0,2010,29,8,6
14354.675318426487,25.0,2010,29,9,6
14883.261835776924,24.4,2010,29,10,6
15382.982339191909,24.4,2010,29,11,6
16026.138365530058,24.0,2010,29,12,6
16665.39648030734,24.4,2010,29,13,6
17235.315347648826,25.0,2010,29,14,6
17387.436820327042,25.6,2010,29,15,6
17140.84942119441,26.1,2010,29,16,6
16500.718606948016,26.1,2010,29,17,6
15682.503768559494,28.3,2010,29,18,6
15355.0507100741,30.0,2010,29,19,6
15130.039405692187,30.6,2010,29,20,6
13969.10076608045,29.4,2010,29,21,6
12592.101600000002,29.4,2010,29,22,6
11800.553744082596,28.9,2010,29,23,6
11085.582196958188,28.9,2010,30,0,6
10623.741442197836,27.8,2010,30,1,6
10400.843393135336,25.0,2010,30,2,6
10494.9727218877,25.0,2010,30,3,6
10953.339707792,25.6,2010,30,4,6
11821.280274851988,25.0,2010,30,5,6
12358.64114449281,25.0,2010,30,6,6
13005.248040504424,24.4,2010,30,7,6
13858.470851131024,24.0,2010,30,8,6
14810.138732156029,23.9,2010,30,9,6
15840.598759965382,23.9,2010,30,10,6
16753.495416985035,23.9,2010,30,11,6
17483.98103323645,24.4,2010,30,12,6
17895.744690795782,26.1,2010,30,13,6
18006.882892436108,27.2,2010,30,14,6
17647.085549942563,28.9,2010,30,15,6
16745.536714473088,30.0,2010,30,16,6
15761.292206140175,31.1,2010,30,17,6
14811.256765962298,31.7,2010,30,18,6
14319.903588502695,31.7,2010,30,19,6
14147.783100191153,31.7,2010,30,20,6
13226.729403140149,28.3,2010,30,21,6
12068.608,26.1,2010,30,22,6
11443.746836475284,25.0,2010,30,23,6
10757.032026465668,23.9,2010,1,0,7
10350.583553823571,23.9,2010,1,1,7
10200.958829719191,24.4,2010,1,2,7
10332.60623144778,24.4,2010,1,3,7
10859.20150370279,24.4,2010,1,4,7
11760.449767530616,23.9,2010,1,5,7
12342.511599303503,23.9,2010,1,6,7
12898.962795976202,23.9,2010,1,7,7
13401.778303650608,24.4,2010,1,8,7
14048.110371009561,24.4,2010,1,9,7
14725.302557841609,24.4,2010,1,10,7
15443.461425576135,24.4,2010,1,11,7
16007.800258514651,24.4,2010,1,12,7
16288.152850392538,25.0,2010,1,13,7
16642.83511747792,26.1,2010,1,14,7
16935.17043295089,27.2,2010,1,15,7
16936.81723153956,27.8,2010,1,16,7
16596.535371514437,28.9,2010,1,17,7
15961.672835670557,28.9,2010,1,18,7
15505.138114709018,28.3,2010,1,19,7
15366.979022450842,29.4,2010,1,20,7
14437.075623167364,31.1,2010,1,21,7
13119.889100000002,31.1,2010,1,22,7
12038.952560876602,30.6,2010,1,23,7
11236.367267700909,30.0,2010,2,0,7
10822.169764430031,29.4,2010,2,1,7
10581.215284371776,28.9,2010,2,2,7
10617.675669858092,28.3,2010,2,3,7
11010.413996321748,27.8,2010,2,4,7
11681.308470061253,27.2,2010,2,5,7
12300.106983642912,26.7,2010,2,6,7
12859.42715406514,26.1,2010,2,7,7
13442.473514104122,26.1,2010,2,8,7
14045.924842845508,25.6,2010,2,9,7
14625.6264920237,25.6,2010,2,10,7
15047.095881126499,25.0,2010,2,11,7
15162.149284930088,25.6,2010,2,12,7
15256.844625889564,26.1,2010,2,13,7
15174.296825544849,26.7,2010,2,14,7
14905.602151532948,26.7,2010,2,15,7
14285.201052366509,28.3,2010,2,16,7
13533.232280347076,26.1,2010,2,17,7
12938.541609515562,26.0,2010,2,18,7
12825.47968964912,27.0,2010,2,19,7
12902.35098135454,26.0,2010,2,20,7
12347.290319553545,27.2,2010,2,21,7
11474.7085,24.0,2010,2,22,7
10687.322751174832,23.9,2010,2,23,7
10120.534085901489,23.9,2010,3,0,7
9679.106155058991,24.0,2010,3,1,7
9419.30282942761,24.4,2010,3,2,7
9388.449047494914,24.4,2010,3,3,7
9560.749281929218,23.9,2010,3,4,7
9817.711767192017,23.9,2010,3,5,7
10179.77851976822,23.9,2010,3,6,7
10914.16475609105,23.9,2010,3,7,7
11712.18287519668,23.9,2010,3,8,7
12538.0982893078,24.0,2010,3,9,7
13326.423502127658,23.9,2010,3,10,7
13878.30093177678,23.9,2010,3,11,7
