busname,datetime,v_reading,kw_reading,kvar_reading
bus1,2019-01-01 00:00:00+00:00,124.23194579514,0.696,0.254562899
bus1,2019-01-01 01:00:00+00:00,124.3792375913928,0.772,0.097665777
bus1,2019-01-01 02:00:00+00:00,124.37368294050599,0.729,0.224170073
bus1,2019-01-01 03:00:00+00:00,124.3417870182072,0.727,0.296264332
bus1,2019-01-01 04:00:00+00:00,124.28641785882239,1.015,0.405480229
bus1,2019-01-01 05:00:00+00:00,124.22091702031199,0.733,0.433488248
bus1,2019-01-01 06:00:00+00:00,124.358755546026,0.701,0.196425484
bus1,2019-01-01 07:00:00+00:00,123.9289175838612,0.736,0.336900272
bus1,2019-01-01 08:00:00+00:00,123.87635880262079,0.831,0.476410406
bus1,2019-01-01 09:00:00+00:00,124.1468124808212,1.113,0.646446901
bus1,2019-01-01 10:00:00+00:00,124.25933930316239,0.706,0.105555955
bus1,2019-01-01 11:00:00+00:00,124.2494379717492,0.785,0.35216666
bus1,2019-01-01 12:00:00+00:00,124.139776768416,0.696,0.403954748
bus1,2019-01-01 13:00:00+00:00,124.1920819079964,1.048,0.115978357
bus1,2019-01-01 14:00:00+00:00,124.2686388953172,0.7,0.150380694
bus1,2019-01-01 15:00:00+00:00,124.2082434481512,0.768,0.437482647
bus1,2019-01-01 16:00:00+00:00,124.2148010820528,0.749,0.292456942
bus1,2019-01-01 17:00:00+00:00,124.001627371086,1.085,0.56590496
bus1,2019-01-01 18:00:00+00:00,124.243611561642,0.71,0.052244687
bus1,2019-01-01 19:00:00+00:00,124.25224161177361,0.71,0.017906698
bus1,2019-01-01 20:00:00+00:00,124.16356316867041,0.757,0.300619411
bus1,2019-01-01 21:00:00+00:00,124.211778674238,0.702,0.39534183
bus1,2019-01-01 22:00:00+00:00,124.1681438767212,1.167,0.271519864
bus1,2019-01-01 23:00:00+00:00,124.29702335044679,0.756,0.233997694
bus1,2019-01-02 00:00:00+00:00,124.310215607316,0.762,0.131685175
bus1,2019-01-02 01:00:00+00:00,124.25882931265319,0.809,0.366383891
bus1,2019-01-02 02:00:00+00:00,124.22999051127121,0.746,0.457902813
bus1,2019-01-02 03:00:00+00:00,124.2817427288628,1.035,0.262276504
bus1,2019-01-02 04:00:00+00:00,124.240063477956,0.736,0.343516189
bus1,2019-01-02 05:00:00+00:00,124.292772132144,0.725,0.358178138
bus1,2019-01-02 06:00:00+00:00,124.27115959209719,0.775,0.336352164
bus1,2019-01-02 07:00:00+00:00,124.23862665484319,0.736,0.367773359
bus1,2019-01-02 08:00:00+00:00,123.673269722934,1.005,0.463798362
bus1,2019-01-02 09:00:00+00:00,123.6883037321112,0.714,0.285999934
bus1,2019-01-02 10:00:00+00:00,123.66140096311798,0.697,0.300708867
bus1,2019-01-02 11:00:00+00:00,123.3523731577644,0.628,0.269687754
bus1,2019-01-02 12:00:00+00:00,123.82462357029239,0.98,0.350730299
bus1,2019-01-02 13:00:00+00:00,124.07147438829361,0.672,0.100038786
bus1,2019-01-02 14:00:00+00:00,123.90326857913762,0.706,0.132105997
bus1,2019-01-02 15:00:00+00:00,123.8240542071264,0.678,0.217975079
bus1,2019-01-02 16:00:00+00:00,124.09791408311041,1.042,0.174429101
bus1,2019-01-02 17:00:00+00:00,123.9340161610092,0.761,0.470928368
bus1,2019-01-02 18:00:00+00:00,123.295118690988,0.818,0.490721677
bus1,2019-01-02 19:00:00+00:00,124.0664738085252,0.754,0.375253624
bus1,2019-01-02 20:00:00+00:00,124.2494220445656,0.706,0.064209796
bus1,2019-01-02 21:00:00+00:00,123.84168600279838,1.071,0.484333891
bus1,2019-01-02 22:00:00+00:00,124.0664479597656,0.708,0.401872843
bus1,2019-01-02 23:00:00+00:00,124.0851488614536,0.772,0.478313469
bus1,2019-01-03 00:00:00+00:00,124.37725561890359,0.715,0.214892976
bus1,2019-01-03 01:00:00+00:00,124.29090023310121,0.717,0.325788826
bus1,2019-01-03 02:00:00+00:00,124.1496512441784,1.181,0.663502811
bus1,2019-01-03 03:00:00+00:00,124.349922700116,0.774,0.056167241
bus1,2019-01-03 04:00:00+00:00,124.3641043887312,0.744,0.129398315
bus1,2019-01-03 05:00:00+00:00,124.31512667499481,0.682,0.183137666
bus1,2019-01-03 06:00:00+00:00,124.3231657304436,0.714,0.30181446
bus1,2019-01-03 07:00:00+00:00,123.4755318505512,0.778,0.194714179
bus1,2019-01-03 08:00:00+00:00,124.0210470541296,1.095,0.413327209
bus1,2019-01-03 09:00:00+00:00,124.101890085906,0.675,0.34639662
bus1,2019-01-03 10:00:00+00:00,124.25777932371841,0.673,0.127934719
bus1,2019-01-03 11:00:00+00:00,124.156664633436,0.719,0.240489132
bus1,2019-01-03 12:00:00+00:00,124.2481138608624,0.743,0.219540972
bus1,2019-01-03 13:00:00+00:00,124.0329099169848,0.982,0.325615344
bus1,2019-01-03 14:00:00+00:00,124.2256096672644,0.668,0.413602584
bus1,2019-01-03 15:00:00+00:00,124.28672817987959,0.699,0.323885372
bus1,2019-01-03 16:00:00+00:00,123.98423437221,0.605,0.17022082
bus1,2019-01-03 17:00:00+00:00,123.9769379500404,0.725,0.159681294
bus1,2019-01-03 18:00:00+00:00,124.0158522867936,1.032,0.477406291
bus1,2019-01-03 19:00:00+00:00,124.2826239121272,0.718,0.322046617
bus1,2019-01-03 20:00:00+00:00,124.16096856840001,0.615,0.173529074
bus1,2019-01-03 21:00:00+00:00,124.25348011363319,0.744,0.419379899
bus1,2019-01-03 22:00:00+00:00,124.32904669862039,0.672,0.18545664
bus1,2019-01-03 23:00:00+00:00,124.2632505364416,1.095,0.455837055
bus1,2019-01-04 00:00:00+00:00,124.3651924037508,0.658,0.247369995
bus1,2019-01-04 01:00:00+00:00,124.34325982866,0.736,0.366562141
bus1,2019-01-04 02:00:00+00:00,124.31539454934,0.675,0.266667393
bus1,2019-01-04 03:00:00+00:00,124.36591460784959,0.673,0.120704934
bus1,2019-01-04 04:00:00+00:00,124.33348634106359,0.802,0.43786768
