busname,datetime,v_reading,kw_reading,kvar_reading
bus701,2019-01-01T00:00Z,124.8201353,3.907200098,0.712799966
bus701,2019-01-01T00:15Z,124.589564,4.658400059,0.686399996
bus701,2019-01-01T00:30Z,124.6299914,4.963200092,1.051200032
bus701,2019-01-01T00:45Z,124.4913756,5.066400051,1.161599994
bus701,2019-01-01T01:00Z,124.4151442,4.197599888,0.698399961
bus701,2019-01-01T01:15Z,124.2962803,5.344799995,0.703200042
bus701,2019-01-01T01:30Z,124.0899702,7.380000114,1.34160006
bus701,2019-01-01T01:45Z,124.5253334,5.241600037,0.609600008
bus701,2019-01-01T02:00Z,124.3853519,4.641600132,0.56159997
bus701,2019-01-01T02:15Z,124.2640926,6.448800087,1.538399935
bus701,2019-01-01T02:30Z,124.6790399,4.800000191,0.621599972
bus701,2019-01-01T02:45Z,124.42922,6.796800137,1.271999955
bus701,2019-01-01T03:00Z,124.7034992,5.241600037,0.688799977
bus701,2019-01-01T03:15Z,124.4187222,6.981600285,1.615199924
bus701,2019-01-01T03:30Z,124.620966,4.540800095,0.734399974
bus701,2019-01-01T03:45Z,124.5641663,6.220799923,1.319999933
bus701,2019-01-01T04:00Z,124.1062662,5.460000038,0.734399974
bus701,2019-01-01T04:15Z,123.2611283,7.720799923,1.643999934
bus701,2019-01-01T04:30Z,122.9200932,10.24319935,1.379999995
bus701,2019-01-01T04:45Z,123.2319158,8.354399681,1.15199995
bus701,2019-01-01T05:00Z,123.31332,6.23759985,1.279200077
bus701,2019-01-01T05:15Z,123.3735988,7.248000145,1.389600039
bus701,2019-01-01T05:30Z,123.251996,9.165599823,1.039199948
bus701,2019-01-01T05:45Z,123.4664772,8.834400177,1.36559999
bus701,2019-01-01T06:00Z,123.4581613,6.796800137,1.137599945
bus701,2019-01-01T06:15Z,123.3244663,5.752799988,1.708800077
bus701,2019-01-01T06:30Z,123.1016388,6.444000244,1.212000012
bus701,2019-01-01T06:45Z,122.8899805,8.315999985,1.545599937
bus701,2019-01-01T07:00Z,123.2171609,5.676000118,1.060800076
bus701,2019-01-01T07:15Z,124.2934576,7.274400234,1.579200029
bus701,2019-01-01T07:30Z,124.3548043,4.399199963,1.106400013
bus701,2019-01-01T07:45Z,124.2161885,7.341599941,1.257600069
bus701,2019-01-01T08:00Z,124.0366799,5.193600178,0.568800032
bus701,2019-01-01T08:15Z,123.6638994,7.430399895,1.511999965
bus701,2019-01-01T08:30Z,123.7570754,5.495999813,0.568800032
