S701a,S701b,S701c,S712c,S713c,S714a,S714b,S718a,S720c,S722b,S722c,S724b,S725b,S727c,S728,S729a,S730c,S731b,S732c,S733a,S734c,S735c,S736b,S737a,S738a,S740c,S741c,S742a,S742b,S744a,S701a_pv,S701b_pv,S701c_pv,S712c_pv,S713c_pv,S714a_pv,S714b_pv,S718a_pv,S720c_pv,S722b_pv,S722c_pv,S724b_pv,S725b_pv,S727c_pv,S728_pv,S729a_pv,S730c_pv,S731b_pv,S732c_pv,S733a_pv,S734c_pv,S735c_pv,S736b_pv,S737a_pv,S738a_pv,S740c_pv,S741c_pv,S742a_pv,S742b_pv,S744a_pv,bsd_1,bsd_2,bsd_3,sw_a
153.4980952,123.8209212,397.3932813,74.99819569,101.0580238,14.98253921,18.60818235,81.29812218,87.78797401,125.6255757,24.27037071,36.22667596,40.82327137,45.04356772,126.3858597,42.79488374,99.19690489,75.75535768,40.82141921,75.5788858,39.80921787,74.68260513,37.58779308,125.9442352,120.717262,78.53341441,41.07110485,8.117321848,81.72566755,37.49611735,104.8470326,106.329674,298.1912782,73.2019816,72.15569892,13.32627789,16.85238009,67.05428116,57.53112078,99.92535546,18.25235409,34.56116182,28.34609761,31.12815481,97.84140156,30.14664531,70.85249394,72.63108248,33.02138168,65.54641259,34.68247952,72.981613,34.65081806,106.2096344,103.2204874,72.65531887,29.45681891,6.448277313,58.55076198,30.54557179,0,0,0,1
153.8888622,123.437081,398.1555377,75.12904786,100.7178114,14.98579957,18.57113978,81.31279408,87.6722463,125.8589221,24.2044076,36.30111216,40.77383636,44.93580633,126.148467,42.76472787,99.42652306,75.78549334,40.81670779,75.44584534,39.67175996,74.71076784,37.58642917,125.973877,120.7671208,78.56623553,41.11597657,8.100267696,81.88775009,37.52907468,104.9867874,106.4216199,298.1677612,73.21591398,72.09878116,13.31514165,16.8576241,67.08687031,57.43644214,99.81326949,18.27525501,34.58884778,28.36780135,31.14972557,97.85620723,30.14747469,70.82241261,72.67380141,33.02248342,65.65860533,34.76153129,73.003157,34.60066217,106.2792872,103.2504348,72.65267508,29.4343007,6.454909253,58.5647208,30.56593606,0,0,0,1
154.2969074,123.6283158,397.3457495,75.11235614,100.7558528,14.96799056,18.56520016,82.14928904,87.66005567,125.7475461,24.16038225,36.31138336,40.87186307,44.80670259,126.074987,42.74497777,99.33314041,75.97038693,40.82347664,75.53072173,39.52738001,74.78835908,37.63603596,126.1550894,121.3235808,78.55884965,41.12364122,8.110115003,81.91550487,37.58666666,105.2758511,106.6900029,298.1427737,73.28697906,72.06854204,13.31815512,16.86673183,67.0583973,57.3242671,99.64793797,18.30653591,34.59638426,28.34616071,31.15830048,97.78090691,30.14565017,70.84445064,72.68258033,33.00029586,65.70521471,34.84748549,72.91820735,34.56991364,106.179119,103.3859859,72.66794112,29.41108238,6.461086123,58.66118727,30.57911991,0,0,0,1
154.5836087,123.8803495,396.4466866,75.05556887,100.504302,14.98730618,18.55811384,81.7925149,87.91194678,125.5378573,24.12541274,36.46317316,40.81746872,44.84985787,126.1306475,42.65147473,99.19515361,75.87407682,40.87027485,75.54123862,39.57360178,74.81067907,37.60664373,126.3436417,121.3691237,78.62395988,41.13108596,8.142097757,81.9659402,37.42631223,105.3210192,107.1759647,298.0038358,73.3328682,72.00378697,13.33356848,16.86999355,67.01881677,57.25584762,99.6383547,18.31953126,34.58506206,28.3143196,31.12725582,97.81937783,30.14838625,70.88272603,72.66719448,33.01959851,65.73534575,34.88770746,72.89278717,34.584977,106.260821,103.3923566,72.67261666,29.398747,6.472420738,58.70649439,30.58264296,0,0,0,1
154.5178723,123.9230763,395.4275833,74.82698879,100.6765531,15.00172944,18.53205751,81.90533592,87.82914573,125.3851925,24.1035566,36.3806724,40.93869179,44.8609143,125.9707233,42.62138335,99.13578458,75.61342834,40.93703114,75.63457885,39.56692831,74.56080748,37.57461891,125.6278488,121.4108806,78.78740189,41.22313809,8.143191575,81.96163588,37.41715794,105.2931878,107.5627489,298.139763,73.3097142,71.97196655,13.33849211,16.90054871,66.94958029,57.2012589,99.72411755,18.32793221,34.55822023,28.28631863,31.11144576,97.9121879,30.10712736,70.89643346,72.59420247,33.0858744,65.76622188,34.92635897,72.95836095,34.61946428,106.5998215,103.3641431,72.74713558,29.37233162,6.475503084,58.76882976,30.58960326,0,0,0,1
154.4709499,123.9691373,395.112553,75.01493159,101.0245675,14.99112253,18.51117734,82.13603365,87.77397338,125.5389424,24.16086567,36.31029112,40.94818067,44.89604938,125.935316,42.60919408,99.03406292,75.69813384,40.94585359,75.69704977,39.62635556,74.62629218,37.60676907,125.4970844,121.408929,78.79455486,41.2411219,8.141086124,81.90284892,37.39079186,105.1617248,107.8405743,298.4275833,73.33385354,72.00714272,13.33800674,16.93149966,66.8723042,57.19426003,99.70036622,18.33654091,34.57782765,28.24239601,31.11939479,97.98366767,30.07959992,71.02484203,72.4971254,33.09653917,65.74985114,34.97485573,72.98233358,34.6293254,106.6887559,103.3019661,72.78680461,29.3593512,6.478006595,58.83288057,30.56956401,0,0,0,1
154.4376654,124.2434502,394.9539398,74.94619672,101.2567887,14.94513916,18.52378076,82.07233175,87.81590391,125.6453654,24.19756277,36.23859068,41.00768165,44.93303133,125.7464125,42.65861122,99.01479617,75.71293878,40.74702547,75.77777667,39.73229299,74.66770639,37.65012692,125.755565,121.496072,78.69289647,41.37102748,8.132898563,81.90416549,37.39945941,104.8689936,108.0486538,298.5585219,73.30553444,71.93525917,13.34080937,16.9669444,66.87282987,57.18075946,99.73342062,18.33197652,34.6254678,28.22902765,31.14609305,98.08364137,30.08068557,71.15491394,72.37638004,33.08810761,65.79265213,34.98007537,73.02764143,34.60344013,106.7760726,103.1968698,72.83390154,29.37370053,6.472909368,58.86255677,30.56901025,0,0,0,1
154.8067421,124.308612,395.0775395,74.89822466,101.3843528,14.94833871,18.55998606,81.99962074,87.84799581,125.6803896,24.15558219,36.12493956,41.03307987,44.98522414,125.6128535,42.84689167,99.00727357,75.63140462,40.6930063,75.82986253,39.74729138,74.97318428,37.6092682,125.8957101,121.5024525,78.94585353,41.40589049,8.118539162,81.87599618,37.39452124,104.7120518,108.2496111,298.7268122,73.38666858,71.83645957,13.34166774,16.99423602,66.86493649,57.29079829,99.68390041,18.34391003,34.63587152,28.19741388,31.17432977,98.1167897,30.12228786,71.30387103,72.30892957,33.09311461,65.91450653,35.02595298,72.99273557,34.59550579,106.8302118,103.2551356,72.82169918,29.34437724,6.46506823,58.93899754,30.58656056,0,0,0,1
154.9815704,124.216656,395.5166103,74.95485658,101.5898233,14.9732813,18.58304735,81.93471705,88.2880064,125.8178132,24.15002684,36.18314464,41.10325602,45.02673228,125.5408181,42.91331148,98.86361059,75.65673073,40.63145969,75.92179973,39.77816708,74.98549597,37.63461403,126.1390548,121.4276896,78.94804144,41.42140614,8.122069672,81.84527278,37.46786626,104.556848,108.5188664,298.7866499,73.54066768,71.71090645,13.35534836,17.0163762,66.84628734,57.33664038,99.63794027,18.37788474,34.64753712,28.20304661,31.1705455,98.09792708,30.12726467,71.41856454,72.30284659,33.06764947,65.92045308,35.09322091,72.93501596,34.57542333,106.8734175,103.3340548,72.93478672,29.30407416,6.465626246,59.01998679,30.60126007,0,0,0,1
155.1166114,124.0985578,393.9988476,75.10929714,101.6107117,14.96415675,18.59959649,81.86544437,88.51066923,126.1051576,24.17677562,36.15722281,41.16642663,45.01063013,125.4413014,42.90945614,98.52155981,75.78696426,40.5106417,75.89172782,39.77184364,75.04754304,37.65421545,125.8791454,121.3865472,79.1944031,41.38458766,8.142521391,81.46988306,37.40404614,104.153863,108.6912562,298.6760806,73.6242593,71.53658932,13.36263103,17.03869539,66.85176212,57.46416208,99.5518437,18.37954272,34.64079725,28.18663821,31.16787912,98.1160951,30.14530107,71.51160903,72.24457646,33.08065961,65.95765906,35.15487831,72.98762795,34.59828799,106.8078851,103.3828738,72.91156976,29.25285758,6.472307734,59.084538,30.6003173,0,0,0,1
