1_a_pv,2_b_pv,4_c_pv,5_c_pv,6_c_pv,7_a_pv,9_a_pv,10_a_pv,11_a_pv,12_b_pv,16_c_pv,17_c_pv,19_a_pv,20_a_pv,22_b_pv,24_c_pv,28_a_pv,29_a_pv,30_c_pv,31_c_pv,32_c_pv,33_a_pv,34_c_pv,35_a_pv,37_a_pv,38_b_pv,39_b_pv,41_c_pv,42_a_pv,43_b_pv,45_a_pv,46_a_pv,47_abc_pv,48_abc_pv,49_a_pv,49_b_pv,49_c_pv,50_c_pv,51_a_pv,52_a_pv,53_a_pv,55_a_pv,56_b_pv,58_b_pv,59_b_pv,60_a_pv,62_c_pv,63_a_pv,64_b_pv,65_a_pv,65_b_pv,65_c_pv,66_c_pv,68_a_pv,69_a_pv,70_a_pv,71_a_pv,73_c_pv,74_c_pv,75_c_pv,76_a_pv,76_b_pv,76_c_pv,77_b_pv,79_a_pv,80_b_pv,82_a_pv,83_c_pv,84_c_pv,85_c_pv,86_b_pv,87_b_pv,88_a_pv,90_b_pv,92_c_pv,94_a_pv,95_b_pv,96_b_pv,98_a_pv,99_b_pv,100_c_pv,102_c_pv,103_c_pv,104_c_pv,106_b_pv,107_b_pv,109_a_pv,111_a_pv,112_a_pv,113_a_pv,114_a_pv
22.61630439,11.24357162,23.31963,11.42105861,22.04596201,10.42985472,20.34293232,10.94206499,25.3291474,12.35718538,21.41810688,11.62481464,21.72974019,19.56151921,19.48475321,21.04590162,22.38947059,22.31951612,20.67719737,10.02198075,11.26875535,19.11206832,19.88886072,21.13624177,23.71978949,11.74577162,11.60920875,11.37125717,11.06847262,22.797422,12.17389028,10.04478374,51.20044954,97.9882024,19.32386434,32.6251919,21.49939536,20.91531326,11.75745948,20.99705202,24.53313712,9.936506493,10.82220927,10.93233088,10.1989135,11.02527482,21.75325113,24.60752647,34.6530082,18.96081966,18.07731002,33.0870034,37.92659427,11.78067553,23.54496532,10.11180988,27.55839323,19.86861332,25.6521381,19.26501293,58.48855914,39.68204511,35.02813401,22.12908787,21.48342054,20.13769553,22.67010197,12.14391402,10.92641294,19.73787609,10.90941789,19.3985147,20.03802385,17.8868804,21.08600385,22.81810011,10.33418223,9.124097073,23.07024231,19.14569948,18.90745216,11.25022206,22.61029295,20.95280621,23.00961481,22.66066806,20.30374045,11.11922486,10.57155767,20.19352886,12.45936255
22.64473156,11.24141009,23.32093887,11.42666104,22.05123516,10.45157411,20.26400665,10.93967151,25.3272531,12.35614583,21.3860536,11.61797683,21.7353815,19.54159732,19.50394176,21.06366645,22.40473058,22.31218808,20.64707818,10.02763923,11.28368093,19.12889083,19.85256578,21.13308824,23.73349526,11.7242565,11.60057406,11.36658101,11.07052253,22.79322956,12.16264714,10.04407297,51.10222192,97.74017262,19.34810966,32.65501922,21.50895194,20.93831397,11.76901066,21.01211182,24.51070607,9.922291942,10.80303331,10.91535531,10.18154754,11.04239638,21.78405073,24.59188114,34.70623341,18.95153285,18.04729498,33.10519175,37.86090434,11.77612337,23.58627,10.1083107,27.54300544,19.93354143,25.65887696,19.27288778,58.51729291,39.69144041,34.99060144,22.10849592,21.48943851,20.15413464,22.67952081,12.11948616,10.92621501,19.77585972,10.89414365,19.26656385,20.0350623,17.90018658,21.03964879,22.83176071,10.33981747,9.091594449,23.07152723,19.18828119,18.91372069,11.25651546,22.61473302,20.98749282,23.00339532,22.67635778,20.30938184,11.05192328,10.56876411,20.12856997,12.44713509
22.65533929,11.24349203,23.31469226,11.4289987,22.02719077,10.46683495,20.21945865,10.9350649,25.3263142,12.3461878,21.35435527,11.63399735,21.7207734,19.53897429,19.53242564,21.07801074,22.41468959,22.30574901,20.62708693,10.03530349,11.29120359,19.12935151,19.79607382,21.12026636,23.7352194,11.71650155,11.59248027,11.35817782,11.06932939,22.80713081,12.15585588,10.04252393,51.08757401,97.35591532,19.38122692,32.65364802,21.50407145,20.9590179,11.77370804,21.02534349,24.51159073,9.911446221,10.79297195,10.91018859,10.14389784,11.03888131,21.78728982,24.55897031,34.77096857,18.95081531,18.0055738,33.11496433,37.78474594,11.76511824,23.59750244,10.11590908,27.53649045,19.97857807,25.66030606,19.27107737,58.65224055,39.71673446,34.91708927,22.11085619,21.49322528,20.16120057,22.67418948,12.08848598,10.93248798,19.79168367,10.88825236,19.14297125,20.07085333,17.88485185,21.00502395,22.81505667,10.34650788,9.065998758,23.06463802,19.205605,18.90432954,11.26809259,22.59974165,21.01546788,22.97648544,22.67929447,20.31246273,10.9791103,10.55556856,20.06781995,12.42716398
22.65216706,11.24228024,23.28850979,11.43085354,22.00248294,10.47834541,20.1861836,10.92665576,25.31461854,12.32908991,21.27205091,11.65874111,21.72670075,19.54367374,19.55607953,21.07443524,22.40960358,22.29201161,20.63720523,10.04004455,11.29607377,19.13819015,19.73239347,21.13420969,23.73171219,11.71401153,11.59338174,11.3453149,11.07592086,22.80433598,12.15298054,10.04981808,51.05639123,97.06774586,19.39498516,32.63368823,21.48926129,20.96031222,11.78255283,21.04156314,24.54549083,9.897884542,10.77522907,10.89797024,10.119261,11.04378866,21.79921196,24.56335489,34.81406562,18.93406005,17.96006808,33.07643031,37.68809713,11.75758948,23.60662553,10.1258475,27.52332856,20.00391142,25.65264384,19.27673604,58.7290093,39.71079827,34.86389637,22.13107172,21.47492282,20.17091038,22.69126808,12.08630176,10.93774199,19.8357021,10.89712691,19.03968128,20.07368094,17.87315892,20.96400054,22.7956084,10.34477446,9.049454327,23.07160148,19.22451865,18.89561353,11.27887532,22.60269366,21.07333047,22.99408841,22.66034229,20.30863882,10.90811992,10.52618578,19.98996165,12.40308819
22.66848052,11.24897469,23.24585145,11.42785459,21.96603784,10.48870645,20.1467594,10.90489227,25.29787007,12.30650437,21.17154568,11.66732128,21.74894496,19.55213756,19.59862392,21.07513838,22.39416977,22.27762341,20.64142719,10.04520024,11.2973752,19.16795364,19.67283915,21.14718066,23.74933431,11.70851864,11.58745163,11.35032218,11.0808757,22.78621113,12.14717166,10.0580221,51.02069714,96.90246606,19.4038793,32.61951394,21.46941497,20.99536418,11.7805898,21.05618131,24.54954624,9.886407971,10.76147559,10.90014722,10.08807529,11.0576757,21.79811077,24.57286733,34.8587863,18.90364758,17.92305637,33.06489946,37.68128742,11.75564182,23.58805063,10.12988905,27.5045522,19.98240711,25.66038864,19.27858338,58.79614947,39.68222736,34.77089194,22.13971245,21.47393858,20.16090682,22.72733033,12.09394923,10.93740502,19.85361043,10.90456488,18.95527836,20.0790774,17.85458737,20.93897891,22.80384575,10.36083924,9.02370343,23.06927389,19.25259445,18.87928594,11.29866173,22.60239584,21.08237189,23.00659881,22.66547074,20.30708754,10.82968924,10.5104328,19.94601611,12.36278459
22.64205076,11.25400696,23.23047558,11.42380118,21.96392534,10.48935418,20.1227132,10.89955117,25.29821598,12.2699996,21.05455017,11.67222483,21.75980657,19.56682866,19.63592694,21.06097814,22.37348772,22.28199815,20.64477714,10.04307367,11.29994637,19.18221281,19.59651328,21.1483676,23.77207281,11.70669994,11.59235779,11.35776241,11.07496077,22.79681214,12.13888488,10.06154839,50.92534733,96.54413656,19.41299337,32.60690947,21.45742709,21.03928064,11.77962318,21.06284004,24.56424341,9.88227618,10.74945164,10.89380557,10.05926851,11.05488756,21.79004409,24.55526582,34.91000272,18.85952155,17.90847832,33.09464439,37.70512985,11.75258434,23.55947659,10.13749895,27.48409486,19.96418717,25.65779988,19.27054866,58.83440535,39.65699762,34.65127993,22.14127226,21.46670183,20.15075201,22.73750035,12.08909395,10.93674491,19.87316224,10.90259724,18.90360444,20.0747525,17.8426183,20.91901533,22.83756639,10.35754113,8.994675828,23.06315072,19.27590947,18.89365375,11.30404247,22.60927819,21.07680081,23.00669672,22.69170194,20.29977201,10.75602449,10.49485428,19.91319106,12.32934089
22.64131787,11.24799961,23.22553858,11.42272229,21.9828306,10.50689555,20.10352785,10.89913849,25.3157296,12.24921171,20.92711282,11.67750142,21.7387128,19.55621759,19.64714767,21.07329721,22.36099503,22.26722736,20.63936085,10.0337591,11.29254377,19.1657798,19.55343269,21.14270292,23.76770115,11.69062211,11.58389039,11.36615565,11.06831442,22.82845011,12.12985622,10.06639411,50.82066802,96.30965643,19.40816103,32.57643734,21.45235157,21.06678765,11.79180892,21.08668682,24.54627186,9.88140438,10.74102411,10.86928665,10.03139397,11.046803,21.7897929,24.52998866,34.92461464,18.8221427,17.8801211,33.10551861,37.68999261,11.74000671,23.56151007,10.13580999,27.46491904,19.95413162,25.65098966,19.27613963,58.89870492,39.60392544,34.57019601,22.15535172,21.45802669,20.15884296,22.74311471,12.0917429,10.94037386,19.90218533,10.89583987,18.87695102,20.05823869,17.85097101,20.91645578,22.84387742,10.36214559,8.967529003,23.07486731,19.31784434,18.90063321,11.30841275,22.60145427,21.05048553,22.99733152,22.7000812,20.31315969,10.68702594,10.45440481,19.87430002,12.30594731
22.66007875,11.24124941,23.21464776,11.43461433,21.97759494,10.52887304,20.10106809,10.88950208,25.3083761,12.24267525,20.7892395,11.67750495,21.73682794,19.55388638,19.64585889,21.11559486,22.35570579,22.27013594,20.63204016,10.03947521,11.29233921,19.15324941,19.52125371,21.1189596,23.78219671,11.67001904,11.57496403,11.36881176,11.07550866,22.84398984,12.12139315,10.06140179,50.63963038,96.01284768,19.4207951,32.55559097,21.44209778,21.09970024,11.80993925,21.12037836,24.52534784,9.875102897,10.73860639,10.84079598,10.01461394,11.03081313,21.79784322,24.48809617,34.95090815,18.80590595,17.8698834,33.12607071,37.69825119,11.73922795,23.5858582,10.13497833,27.4670548,19.91582538,25.66402093,19.30144607,59.05093875,39.61099603,34.5090879,22.13210165,21.42760019,20.13659699,22.7546298,12.09660896,10.95446311,19.926287,10.8985394,18.87142445,20.06553267,17.86377434,20.9115185,22.83886702,10.3751755,8.932737155,23.08419905,19.35461294,18.90714465,11.29951472,22.61844369,20.9918888,22.9829842,22.69925519,20.30723058,10.62936182,10.40501031,19.85057901,12.29947812
22.66936487,11.24855606,23.2110418,11.44199644,21.98488134,10.54263862,20.09632328,10.87201102,25.30153525,12.23122078,20.6548173,11.68917578,21.73055822,19.56232364,19.64255005,21.12240118,22.34502021,22.2698425,20.63009164,10.04348937,11.29882238,19.13334775,19.48312814,21.0802753,23.77928239,11.65422959,11.56917262,11.37008069,11.08443543,22.8547212,12.12233575,10.05633398,50.49706393,95.73868035,19.4567643,32.55019809,21.42747002,21.10343211,11.81939985,21.14330392,24.53421025,9.87255638,10.74519391,10.82580501,9.995768328,11.02101039,21.81388584,24.45814421,35.0318871,18.79624918,17.83481301,33.11023706,37.71342205,11.72286001,23.56969344,10.14546272,27.4530052,19.85971573,25.67439975,19.30263543,59.20986673,39.62633584,34.40982468,22.13724913,21.40383678,20.1819525,22.74756965,12.09974175,10.97023203,19.96963678,10.90624314,18.88493665,20.09169966,17.87502345,20.95176069,22.84952315,10.37255944,8.913099599,23.09104119,19.36567292,18.91316949,11.28582674,22.64066529,20.96047337,22.97504906,22.70402484,20.32054816,10.58224185,10.34751147,19.83165313,12.2881004
22.66539548,11.25762231,23.17916406,11.44366367,21.97396528,10.55910936,20.1349967,10.84663292,25.27193695,12.21241668,20.50630672,11.69643332,21.75731425,19.57883619,19.67008059,21.11702011,22.32977648,22.27662359,20.65156934,10.05125224,11.30425245,19.12052145,19.45987402,21.06633185,23.76038266,11.65455022,11.57004365,11.36237237,11.07985002,22.84231213,12.11613508,10.06037181,50.40491245,95.47338556,19.45851962,32.54173223,21.4115327,21.10157267,11.82197515,21.1533475,24.57048963,9.858559374,10.73878845,10.8151807,9.979171645,11.02581264,21.82396221,24.46679988,35.03646356,18.77271018,17.79958191,33.08405487,37.7231891,11.71802476,23.55769128,10.16106173,27.46462888,19.77384717,25.68200962,19.29736818,59.32801506,39.59795156,34.32404828,22.15131423,21.35931029,20.18329622,22.74701176,12.11140579,10.98032471,20.00764596,10.91884415,18.89703067,20.08171982,17.88881284,20.96852555,22.82504479,10.36497388,8.89843136,23.07402165,19.3644026,18.89157754,11.28680084,22.6497019,20.92940584,22.96724142,22.70548564,20.30139606,10.55339364,10.28488085,19.82922662,12.264283
