1_a,2_b,4_c,5_c,6_c,7_a,9_a,10_a,11_a,12_b,16_c,17_c,19_a,20_a,22_b,24_c,28_a,29_a,30_c,31_c,32_c,33_a,34_c,35_a,37_a,38_b,39_b,41_c,42_a,43_b,45_a,46_a,47_abc,48_abc,49_a,49_b,49_c,50_c,51_a,52_a,53_a,55_a,56_b,58_b,59_b,60_a,62_c,63_a,64_b,65_a,65_b,65_c,66_c,68_a,69_a,70_a,71_a,73_c,74_c,75_c,76_a,76_b,76_c,77_b,79_a,80_b,82_a,83_c,84_c,85_c,86_b,87_b,88_a,90_b,92_c,94_a,95_b,96_b,98_a,99_b,100_c,102_c,103_c,104_c,106_b,107_b,109_a,111_a,112_a,113_a,114_a
42.26210877,18.00609679,36.01449201,17.7264812,40.91852281,21.09201904,40.61642718,18.14038571,36.27493788,17.80493667,45.76664045,18.09689542,39.95495436,35.56496887,43.98346221,43.09084149,36.72270463,47.25413144,39.86300798,17.79242252,19.06640406,39.93998513,36.88596341,41.74834407,42.12100688,19.46783938,19.54230493,17.96099969,18.14056248,36.50272462,17.93452026,22.06252363,94.40981626,196.4091338,31.06593632,65.60132651,40.13008859,43.91107067,22.75114401,35.75650531,34.95804226,17.46098368,23.50729277,20.66196765,17.82217616,18.76967631,40.68477976,39.41282028,88.11085883,30.56958692,32.2036453,81.21399091,67.5569776,23.66484737,43.59521156,23.89039013,35.24836539,35.69828223,35.28603293,45.99969359,109.3605265,72.32642697,65.55883098,44.7024884,35.62765525,36.00251519,45.33762261,20.69665625,23.96834828,36.37655292,20.97093304,42.16164724,41.75073972,35.50103898,41.49477978,36.12653776,22.93920122,19.760094,36.14732376,46.77343404,47.97132412,17.72813543,41.47239711,36.07108313,40.78146579,43.97835919,36.21435257,18.29779556,19.15381324,35.6053018,20.36039592
42.13846821,18.02388986,36.13342302,17.76499774,40.91761416,21.08596872,40.53297772,18.15255343,36.18020861,17.88318159,45.8154347,18.13239288,39.92666798,35.55593492,43.92616133,43.02444571,36.7030242,47.1904863,39.81384338,17.80602821,19.06782569,39.99667647,36.84091292,41.78149148,42.11713984,19.47572059,19.51660573,17.93543262,18.16499247,36.47247965,17.89915247,22.11524887,94.37229309,196.8033762,31.12071768,65.5781592,40.19240823,43.97835919,22.74713189,35.75255722,34.92677477,17.45000882,23.56141378,20.62279563,17.8134654,18.77705705,40.73698075,39.40974341,87.99513658,30.6451247,32.18717245,80.98957628,67.41163562,23.71713027,43.63785534,23.85891334,35.34447647,35.79633625,35.24406548,46.0477754,109.4636109,72.44775694,65.34588355,44.7082955,35.54734153,36.14464133,45.27234266,20.66486106,23.96841503,36.37974086,21.15737669,42.29423355,41.72882881,35.52723466,41.41681713,36.12566415,22.92155925,19.75844561,36.10379438,46.79084549,48.07282572,17.75663281,41.50064915,36.01301389,40.82837894,43.91107067,36.20430278,18.28446546,19.12880005,35.59389942,20.35716507
42.13490419,18.05598881,36.13301997,17.73505557,40.83225586,21.15147123,40.50419392,18.17128927,36.18293934,17.9226271,45.78798002,18.06698399,39.90314756,35.63462981,43.89313562,43.00586748,36.77085727,47.11043195,39.84211885,17.79731711,19.15969833,39.94438126,36.78341748,41.83924673,42.10956503,19.54032468,19.47713601,17.90749668,18.14755454,36.44498371,17.87473708,22.14022435,94.40793747,196.5289291,31.21918164,65.51615959,40.26383631,44.02155063,22.68336619,35.73879291,34.9431651,17.44728146,23.51922591,20.60270748,17.8396817,18.78035166,40.77205124,39.43482696,87.91518797,30.63649298,32.22524811,80.852259,67.3361944,23.74013405,43.60078046,23.86595299,35.33898944,35.78325637,35.21033093,46.15488174,109.3900947,72.41092136,65.38134785,44.73331001,35.50757358,36.13821092,45.2042945,20.71270381,24.00297816,36.33456351,21.03001029,42.24858624,41.66898221,35.57510686,41.30090092,36.0445461,22.9240863,19.79127797,36.04110605,46.66868434,47.82553138,17.73124868,41.43902631,36.12038385,40.91587669,43.84560088,36.13102032,18.29295182,19.12708317,35.63883374,20.26416307
42.16170043,18.05789814,36.1857069,17.72436764,40.70737677,21.15373992,40.58747835,18.19669414,36.21714863,17.88115742,45.78337234,18.04910481,39.9154064,35.66224894,43.99133859,42.97243207,36.7704656,47.1350797,39.95256977,17.81868786,19.13906402,39.9154064,36.76401482,41.89557734,42.19076343,19.55187114,19.48996251,17.92246813,18.15188193,36.52805309,17.84747617,22.15951591,94.29718584,197.111734,31.24201029,65.5791334,40.25754514,44.00460346,22.62455454,35.76748567,35.01441921,17.46650798,23.44876161,20.63476586,17.86493727,18.85398226,40.80563032,39.54938852,87.81837064,30.55642188,32.20469687,80.67525816,67.24334072,23.79594259,43.51557167,23.9726541,35.47347757,35.7372125,35.18328682,46.17759491,109.1189198,72.63489946,65.32170104,44.77839032,35.44919472,36.05674606,45.25350217,20.73151187,24.02115156,36.29791395,21.02473458,42.22693243,41.66441309,35.70830449,41.23079524,36.02535032,22.96182058,19.86248066,36.05596795,46.66073975,47.52674465,17.70844123,41.40430214,36.07963317,40.95764569,43.75100818,36.07984715,18.30656889,19.14035922,35.65064215,20.25794701
42.19845922,18.04172598,36.18809681,17.67106149,40.65714268,21.09538171,40.64954981,18.16782164,36.26568001,17.81569167,45.78221815,18.06595451,39.94438126,35.64958009,44.09749087,42.93328274,36.70588764,47.11138308,40.02335845,17.836931,19.21574651,39.90314756,36.73405112,41.8094642,42.30747983,19.52340075,19.4696514,17.96449439,18.15633723,36.45593864,17.85122651,22.15293096,94.21593532,197.1650324,31.26583856,65.70769051,40.20180575,44.04442144,22.61696177,35.8126089,35.10492816,17.44207201,23.41515953,20.66403172,17.85671661,18.84072481,40.81327205,39.58897624,87.79865862,30.62018203,32.19109277,80.66417574,67.31661548,23.75677959,43.54882341,23.9723744,35.50511287,35.73238693,35.16453615,46.00545977,109.2098212,72.73247884,65.38843032,44.8210231,35.52703763,35.97154961,45.32973788,20.77515381,24.04044554,36.26178392,21.05339208,42.16124869,41.79466319,35.7000984,41.22516479,36.05075661,22.93152341,19.88934345,36.07984715,46.68709843,47.51749024,17.70728833,41.45143064,35.88881188,40.88875267,43.74417796,36.05596795,18.36428651,19.21574651,35.64109228,20.28023812
42.29992105,18.03071665,36.09911189,17.65759727,40.64992809,21.05478252,40.71466134,18.15178376,36.22847873,17.76909255,45.82763316,18.05347837,39.99667647,35.66376157,44.12505732,42.83212405,36.72493428,47.14106274,39.99838139,17.83660521,19.14035922,39.92666798,36.7102661,41.78196016,42.30294247,19.52729226,19.45134075,17.95681259,18.13543443,36.46741156,17.89540846,22.10265376,94.10710987,196.8899125,31.27006093,65.53560852,40.20945642,43.98744722,22.64509522,35.77116914,35.1775788,17.43123967,23.40995743,20.71532494,17.8200612,18.8587841,40.82764081,39.46775315,87.80521876,30.71437063,32.13494914,80.50743885,67.32281712,23.76904611,43.53949878,24.00911441,35.48237641,35.70515461,35.24627547,46.2284311,108.9861724,72.68062399,65.4460961,44.93313523,35.50977707,36.0284326,45.33830512,20.85817526,24.00441962,36.23822948,21.01866383,42.16354488,41.84999463,35.75341856,41.17903623,35.9840672,22.87941672,19.89149316,36.13102032,46.85448547,47.45498194,17.73295759,41.38655874,35.84325689,40.86911026,43.78321727,36.04110605,18.35523332,19.13906402,35.60458817,20.24438852
42.21619347,18.06059561,36.08146941,17.64446994,40.61669201,21.05856992,40.63475409,18.17624769,36.24433178,17.77616089,45.6886152,18.04924674,39.93998513,35.75077032,43.93287755,42.81715527,36.75495982,47.1444884,39.95922384,17.82558392,19.12708317,39.95495436,36.72733727,41.82666375,42.17193744,19.53513997,19.46257201,17.99074371,18.11815436,36.45032656,17.8820795,22.04677606,93.98209746,196.3584282,31.31034933,65.52058607,40.13650009,43.93218662,22.67253381,35.62096942,35.16700485,17.41499863,23.44686441,20.70329169,17.79663706,18.88021266,40.78502697,39.44424929,88.09073318,30.72929158,32.08742632,80.54831763,67.22672169,23.75537755,43.50211263,24.03593713,35.50326761,35.67906473,35.30157262,45.82080179,109.2048889,72.65628646,65.31191641,44.97834138,35.49877761,35.96841129,45.36449633,20.85143609,24.01587718,36.26333145,20.99516276,42.13582019,41.91777243,35.83607666,41.20002828,35.9925363,22.81540778,19.89376702,36.20430278,47.03828099,47.37013198,17.68455748,41.35318922,35.84547031,40.80759976,43.75808723,36.10379438,18.39767207,19.15969833,35.55774616,20.21469349
42.30818974,18.09969914,36.07551311,17.68693088,40.55014939,21.06050344,40.52174426,18.13188209,36.26747444,17.74386665,45.6191215,18.01632842,39.9993775,35.70544791,43.86527705,42.77797889,36.86348385,47.0621805,39.91570584,17.83577868,19.12880005,40.03165248,36.77565695,41.79187077,42.18403808,19.55833548,19.39088251,17.99903778,18.15364552,36.43793962,17.83743071,22.03489688,93.75466629,196.0042107,31.32179422,65.55421736,40.18987047,43.83367399,22.69397308,35.6319256,35.21746719,17.38749166,23.44159685,20.74119127,17.81278638,18.87478852,40.85516257,39.33554641,88.08522486,30.72134048,32.02077475,80.65387834,67.1330435,23.88628122,43.55960758,24.01644675,35.45804108,35.56653449,35.31440997,45.74787917,108.9633344,72.73139478,65.25276188,44.98982541,35.50479372,35.87348146,45.33236618,20.80596757,24.01644675,36.27260936,21.04627211,42.11927491,41.88240318,35.72734502,41.23381406,36.04431125,22.79611081,19.91742524,36.21435257,47.11243033,47.35583031,17.68617971,41.36487915,35.80209114,40.71670343,43.7086474,36.14732376,18.3781106,19.06782569,35.64381719,20.24776262
42.35809204,18.07979393,36.11104559,17.69681479,40.57993128,21.07734616,40.52587495,18.1029097,36.30887084,17.7828734,45.49934789,18.01789262,39.92729305,35.58278981,43.8765472,42.77431184,36.94239557,47.11305482,39.89163086,17.87845599,19.15381324,40.06357908,36.81470849,41.82941394,42.28271991,19.60917349,19.38335271,18.01188945,18.0925962,36.4792921,17.86443625,22.0250219,93.72757376,195.8561434,31.23599695,65.48315876,40.25993653,43.8240627,22.72004299,35.57133437,35.20773877,17.39381895,23.50196478,20.74738989,17.84794768,18.85345745,40.86663324,39.26940048,88.62606463,30.67924781,31.98781643,80.59155275,67.10713168,23.90468699,43.61602158,24.01587718,35.45644857,35.50392722,35.44830557,45.64695841,109.0777233,72.86264615,65.37974291,45.02953794,35.48452147,35.90513615,45.25978662,20.78816374,24.03593713,36.31522045,21.06065743,42.18469133,41.89035246,35.68072024,41.06984499,36.09818333,22.77200745,19.95090069,36.20192961,47.17134548,47.51337625,17.6530306,41.35672884,35.81451657,40.73195357,43.71898981,36.15472816,18.41202886,19.06640406,35.63318238,20.28806863
42.38204219,18.06749615,36.10243576,17.6964394,40.57818314,21.08082362,40.57564251,18.09620354,36.36117404,17.82071073,45.49023358,18.03652001,39.83128091,35.62265122,43.87245374,42.77942519,36.91308714,47.12093047,39.89980991,17.90062736,19.1360293,40.14895768,36.83102191,41.9595494,42.19173311,19.62888892,19.38950627,18.05302784,18.10341436,36.49420307,17.84858421,22.03121854,93.68529836,195.9568292,31.24337016,65.54742691,40.20680588,43.77103063,22.7423422,35.46969323,35.24706106,17.41860372,23.5034461,20.70840857,17.81307451,18.874834,40.87673558,39.23068184,88.97454512,30.69675752,31.9440736,80.5397684,67.08675636,23.94024713,43.5467388,24.00441962,35.46634632,35.54386905,35.5991341,45.82361181,108.9578378,72.91741026,65.42313261,45.07163663,35.54938974,35.84625053,45.30044816,20.79007861,24.00911441,36.39483648,21.08409693,42.2474219,41.79573678,35.68054957,40.96733366,35.89367108,22.78975689,19.9963007,36.16577998,47.13599133,47.67726478,17.63004219,41.20019247,35.83472824,40.80685875,43.58315068,36.18686056,18.40627894,19.0404541,35.58955102,20.25636895
