,33_a_bsd,48_bsd,71_a_bsd
initial_SOC,0.5,0.5,0.5
constant_charge_rate,-125.0,-375.0,-125.0
constant_discharge_rate,125.0,375.0,125.0
energy_capacity,1000,3000,1000
apparent_power_capacity,250.0,750.0,250.0
charging_efficiency,0.95,0.95,0.95
discharging_efficiency,0.97,0.97,0.97
min_SOC,0.2,0.2,0.2
max_SOC,1.0,1.0,1.0
max_charge_rate,-250,-750,-250
max_discharge_rate,250,750,250
charging_ramp_rate,1.0,1.0,1.0
discharging_ramp_rate,1.0,1.0,1.0
peak_min_SOC,,,
peak_max_SOC,,,
peak_min_charge_rate,,,
peak_max_discharge_rate,,,
peak_min_charge_ramp_rate,,,
peak_max_discharge_ramp_rate,,,
