701_ab,701_bc,701_ac,712_ac,713_ac,714_ab,714_bc,718_ab,720_ac,722_bc,722_ac,724_bc,725_bc,727_ac,728_abc,729_ab,730_ac,731_bc,732_ac,733_ab,734_ac,735_ac,736_bc,737_ab,738_ab,740_ac,741_ac,742_ab,742_bc,744_ab
153.4980952,123.8209212,397.3932813,74.99819569,101.0580238,14.98253921,18.60818235,81.29812218,87.78797401,125.6255757,24.27037071,36.22667596,40.82327137,45.04356772,126.3858597,42.79488374,99.19690489,75.75535768,40.82141921,75.5788858,39.80921787,74.68260513,37.58779308,125.9442352,120.717262,78.53341441,41.07110485,8.117321848,81.72566755,37.49611735
153.8888622,123.437081,398.1555377,75.12904786,100.7178114,14.98579957,18.57113978,81.31279408,87.6722463,125.8589221,24.2044076,36.30111216,40.77383636,44.93580633,126.148467,42.76472787,99.42652306,75.78549334,40.81670779,75.44584534,39.67175996,74.71076784,37.58642917,125.973877,120.7671208,78.56623553,41.11597657,8.100267696,81.88775009,37.52907468
154.2969074,123.6283158,397.3457495,75.11235614,100.7558528,14.96799056,18.56520016,82.14928904,87.66005567,125.7475461,24.16038225,36.31138336,40.87186307,44.80670259,126.074987,42.74497777,99.33314041,75.97038693,40.82347664,75.53072173,39.52738001,74.78835908,37.63603596,126.1550894,121.3235808,78.55884965,41.12364122,8.110115003,81.91550487,37.58666666
154.5836087,123.8803495,396.4466866,75.05556887,100.504302,14.98730618,18.55811384,81.7925149,87.91194678,125.5378573,24.12541274,36.46317316,40.81746872,44.84985787,126.1306475,42.65147473,99.19515361,75.87407682,40.87027485,75.54123862,39.57360178,74.81067907,37.60664373,126.3436417,121.3691237,78.62395988,41.13108596,8.142097757,81.9659402,37.42631223
154.5178723,123.9230763,395.4275833,74.82698879,100.6765531,15.00172944,18.53205751,81.90533592,87.82914573,125.3851925,24.1035566,36.3806724,40.93869179,44.8609143,125.9707233,42.62138335,99.13578458,75.61342834,40.93703114,75.63457885,39.56692831,74.56080748,37.57461891,125.6278488,121.4108806,78.78740189,41.22313809,8.143191575,81.96163588,37.41715794
154.4709499,123.9691373,395.112553,75.01493159,101.0245675,14.99112253,18.51117734,82.13603365,87.77397338,125.5389424,24.16086567,36.31029112,40.94818067,44.89604938,125.935316,42.60919408,99.03406292,75.69813384,40.94585359,75.69704977,39.62635556,74.62629218,37.60676907,125.4970844,121.408929,78.79455486,41.2411219,8.141086124,81.90284892,37.39079186
154.4376654,124.2434502,394.9539398,74.94619672,101.2567887,14.94513916,18.52378076,82.07233175,87.81590391,125.6453654,24.19756277,36.23859068,41.00768165,44.93303133,125.7464125,42.65861122,99.01479617,75.71293878,40.74702547,75.77777667,39.73229299,74.66770639,37.65012692,125.755565,121.496072,78.69289647,41.37102748,8.132898563,81.90416549,37.39945941
154.8067421,124.308612,395.0775395,74.89822466,101.3843528,14.94833871,18.55998606,81.99962074,87.84799581,125.6803896,24.15558219,36.12493956,41.03307987,44.98522414,125.6128535,42.84689167,99.00727357,75.63140462,40.6930063,75.82986253,39.74729138,74.97318428,37.6092682,125.8957101,121.5024525,78.94585353,41.40589049,8.118539162,81.87599618,37.39452124
154.9815704,124.216656,395.5166103,74.95485658,101.5898233,14.9732813,18.58304735,81.93471705,88.2880064,125.8178132,24.15002684,36.18314464,41.10325602,45.02673228,125.5408181,42.91331148,98.86361059,75.65673073,40.63145969,75.92179973,39.77816708,74.98549597,37.63461403,126.1390548,121.4276896,78.94804144,41.42140614,8.122069672,81.84527278,37.46786626
155.1166114,124.0985578,393.9988476,75.10929714,101.6107117,14.96415675,18.59959649,81.86544437,88.51066923,126.1051576,24.17677562,36.15722281,41.16642663,45.01063013,125.4413014,42.90945614,98.52155981,75.78696426,40.5106417,75.89172782,39.77184364,75.04754304,37.65421545,125.8791454,121.3865472,79.1944031,41.38458766,8.142521391,81.46988306,37.40404614
