house_A,house_B
0.625,1.404
0.643,1.416
0.633,1.348
0.551,1.331
0.547,1.223
0.615,1.276
0.504,1.063
0.495,1.206
0.569,1.057
0.518,0.961
0.475,1.052
0.477,0.985
0.481,0.952
0.426,1.024
0.400,0.836
0.461,0.925
0.439,0.859
0.413,0.868
0.439,0.846
0.404,0.749
0.446,0.826
0.357,0.898
0.393,0.733
0.384,0.693
0.369,0.706
0.396,0.797
0.359,0.920
0.424,0.713
0.436,0.939
0.360,0.846
0.404,0.764
0.390,0.849
0.378,0.818
0.477,0.955
0.436,0.938
0.417,0.904
0.487,0.922
0.448,1.091
0.539,1.097
0.479,1.052
0.474,1.077
0.509,1.187
0.541,1.275
0.571,1.105
0.637,1.160
0.631,1.243
0.610,1.314
0.592,1.251
0.626,1.284
0.736,1.360
0.695,1.436
0.738,1.554
0.685,1.561
0.700,1.463
0.807,1.503
0.796,1.634
0.784,1.770
0.806,1.822
0.803,1.742
0.836,1.913
0.846,1.978
0.965,1.918
0.955,2.061
0.950,2.042
1.052,2.065
1.027,2.235
1.048,2.197
1.142,2.403
1.209,2.508
1.145,2.599
1.260,2.553
1.219,2.531
1.230,2.757
1.238,2.786
1.280,2.832
1.334,2.759
1.309,2.778
1.342,2.696
1.260,2.627
1.253,2.615
1.224,2.665
1.275,2.515
1.238,2.531
1.135,2.411
1.106,2.316
1.051,2.348
1.056,2.073
0.934,2.056
0.894,1.890
0.888,1.980
0.830,1.791
0.857,1.674
0.809,1.560
0.754,1.588
0.736,1.479
0.712,1.358
0.696,1.284
0.690,1.319
0.584,1.320
0.617,1.266
0.546,1.316
0.562,1.283
0.583,1.254
0.579,1.188
0.548,1.081
0.453,1.060
0.474,1.001
0.439,0.972
0.518,0.863
0.412,1.012
0.412,0.861
0.414,0.790
0.372,0.871
0.453,0.911
0.420,0.831
0.361,0.802
0.393,0.859
0.343,0.737
0.399,0.697
0.356,0.827
0.334,0.812
0.344,0.891
0.394,0.792
0.406,0.883
0.376,0.716
0.416,0.729
0.391,0.874
0.374,0.805
0.403,0.786
0.422,0.820
0.489,0.899
0.413,0.915
0.422,0.993
0.488,1.095
0.546,1.005
0.555,0.994
0.547,1.117
0.494,1.018
0.592,1.140
0.595,1.160
0.553,1.212
0.606,1.172
0.578,1.324
0.679,1.378
0.687,1.445
0.715,1.530
0.728,1.429
0.691,1.535
0.766,1.522
0.724,1.506
0.729,1.697
0.775,1.701
0.805,1.786
0.802,1.800
0.860,1.869
0.883,1.738
0.870,1.768
0.941,1.870
0.943,1.984
1.017,2.116
1.003,2.130
1.094,2.221
1.087,2.352
1.137,2.267
1.184,2.478
1.199,2.400
1.200,2.507
1.305,2.670
1.230,2.707
1.272,2.679
1.309,2.678
1.257,2.813
1.271,2.686
1.336,2.617
1.323,2.642
1.289,2.553
1.295,2.686
1.250,2.468
1.167,2.596
1.169,2.344
1.096,2.283
1.099,2.260
1.016,2.106
0.947,2.031
0.983,1.877
0.920,1.854
0.885,1.685
0.826,1.649
0.814,1.731
0.743,1.516
0.726,1.449
0.642,1.485
