appliance,dt_s,count,duration_s_p10,duration_s_p50,duration_s_p90,energy_wh_p50,peak_w_p50,peak_w_p90,seconds
heat_pump,1,429,858.0,1098.0,1673.9999999999995,547.9508,1857.0,3115.6,3.3
furnace_hot_water,1,6224,664.0,667.0,859.0,29.6325,172.0,220.0,2.7
oven,1,10,226.2,470.5,546.0999999999999,442.84265,3649.5,3758.1,2.7
dryer,1,41,372.0,1451.0,2302.0,1817.9136,5308.0,5461.0,2.6
fridge,1,2716,570.0,780.0,1190.0,28.86028,1074.0,1638.0,2.4
washer,1,201,124.0,170.0,710.0,7.0608335,929.0,1023.0,2.3
dishwasher,1,69,1186.4,1896.0,2295.4000000000005,384.41165,789.0,803.0,2.3
kitchen_plugs,1,200,108.0,207.5,388.0,93.92125,1674.5,1708.0,2.5
entertainment,1,88,1212.5000000000005,3201.5,8894.599999999999,149.05487,377.0,439.6,2.4
bathrooms,1,2514,555.0,600.0,683.0,19.85514,963.5,1616.0,2.3
misc_plugs,1,46,742.0,4276.0,6529.0,34.919304,65.0,72.0,2.3
dryer_h2,1,28,329.2,469.0,797.9,668.2804,5614.0,5740.0,2.0
vacuum_h2,1,39,30.200000000000003,82.0,420.6,29.727222,1326.0,1349.0,1.8
boiler_h2,1,556,411.0,598.0,1124.5,24.86597,272.0,310.0,1.8
washer_h2,1,121,163.0,227.0,567.0,10.878612,514.0,747.0,1.7
fridge_h2,1,2323,540.0,1021.0,1202.0,28.82611,1243.0,1893.8,1.7
dishwasher_h2,1,56,690.0,1351.0,3884.0,235.6682,1036.5,1106.0,1.7
